IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-27 01:38:11
End Time : 2026-01-27 01:52:13
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1758033,47.5707533,2026-01-27 01:38:11.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1758033,47.5707533,2026-01-27 01:38:12.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1758033,47.5707533,2026-01-27 01:38:13.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1758033,47.5707533,2026-01-27 01:38:14.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1758033,47.5707533,2026-01-27 01:38:15.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1758033,47.5707533,2026-01-27 01:38:16.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1758033,47.5707533,2026-01-27 01:38:17.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1758033,47.5707533,2026-01-27 01:38:18.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1758033,47.5707533,2026-01-27 01:38:19.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1758033,47.5707533,2026-01-27 01:38:20.000,_20260126_173807_CH02_TMO_5GMHS_MS HTTP UL 30S_L2_SEA.dml,,,,,,,,,,,,,
