IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-27 01:30:22
End Time : 2026-01-27 01:35:45
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1757850,47.5707233,2026-01-27 01:30:22.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1757850,47.5707233,2026-01-27 01:30:23.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1757850,47.5707233,2026-01-27 01:30:24.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1757850,47.5707233,2026-01-27 01:30:25.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1757850,47.5707233,2026-01-27 01:30:26.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1757850,47.5707233,2026-01-27 01:30:27.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1757850,47.5707233,2026-01-27 01:30:28.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1757850,47.5707233,2026-01-27 01:30:29.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1757850,47.5707233,2026-01-27 01:30:30.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1757850,47.5707233,2026-01-27 01:30:31.327,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Start Request,,,,,,
11,1,,,-122.1757850,47.5707233,2026-01-27 01:30:31.607,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Started,,,,,,
12,1,,,-122.1757850,47.5707233,2026-01-27 01:30:31.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1757850,47.5707233,2026-01-27 01:30:32.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1757850,47.5707233,2026-01-27 01:30:33.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,36.700,,,,
15,1,,,-122.1757850,47.5707233,2026-01-27 01:30:34.000,_20260126_173019_CH02_TMO_5GMHS_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,11.534,,,,
